#  P1, Q1, P2, Q2, P3, Q3, P4, Q4, P5, Q5, P6, Q6, P7, Q7, P8, Q8, P9, Q9, P10, Q10, P11, Q11,  P12, Q12,  P13, Q13, P14, Q14,P15, Q15, P16, Q16, P17, Q17, P18, Q18, P19, Q19, P20, Q20, P21, Q21, P22,  Q22, P23, Q23, P24, Q24, P25, Q25, P26, Q26, P27, Q27, P28, Q28, P29, Q29, P30, Q30, P31, Q31, P32, Q32, P33, Q33
0.0000,0.0000,50.0000,30.0000,45.0000,20.0000,60.0000,40.0000,54.0000,27.0000,54.0000,18.0000,80.0000,40.0000,80.0000,40.0000,24.0000,8.0000,24.0000,8.0000,18.0000,12.0000,30.0000,17.5000,30.0000,17.5000,48.0000,32.0000,30.0000,5.0000,30.0000,10.0000,30.0000,10.0000,45.0000,20.0000,54.0000,0.0000,54.0000,0.0000,54.0000,0.0000,54.0000,0.0000,81.0000,45.0000,378.0000,180.0000,378.0000,180.0000,54.0000,22.5000,54.0000,22.5000,54.0000,18.0000,108.0000,63.0000,180.0000,540.0000,75.0000,35.0000,105.0000,50.0000,30.0000,20.0000
0.0000,0.0000,60.0000,36.0000,54.0000,24.0000,72.0000,48.0000,42.0000,21.0000,42.0000,14.0000,180.0000,90.0000,180.0000,90.0000,54.0000,18.0000,54.0000,18.0000,40.5000,27.0000,36.0000,21.0000,36.0000,21.0000,108.0000,72.0000,42.0000,7.0000,42.0000,14.0000,42.0000,14.0000,63.0000,28.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,72.0000,40.0000,336.0000,160.0000,336.0000,160.0000,42.0000,17.5000,42.0000,17.5000,42.0000,14.0000,96.0000,56.0000,160.0000,480.0000,105.0000,49.0000,147.0000,70.0000,42.0000,28.0000
